sentence,label
tilt towards your right by 322 degree,"0,0,-322"
tilt towards your right by 323 degree,"0,0,-323"
tilt towards your right by 324 degree,"0,0,-324"
tilt towards your right by 325 degree,"0,0,-325"
tilt towards your right by 326 degree,"0,0,-326"
tilt towards your right by 327 degree,"0,0,-327"
tilt towards your right by 328 degree,"0,0,-328"
tilt towards your right by 329 degree,"0,0,-329"
tilt towards your right by 330 degree,"0,0,-330"
tilt towards your right by 331 degree,"0,0,-331"
tilt towards your right by 332 degree,"0,0,-332"
tilt towards your right by 333 degree,"0,0,-333"
tilt towards your right by 334 degree,"0,0,-334"
tilt towards your right by 335 degree,"0,0,-335"
tilt towards your right by 336 degree,"0,0,-336"
tilt towards your right by 337 degree,"0,0,-337"
tilt towards your right by 338 degree,"0,0,-338"
tilt towards your right by 339 degree,"0,0,-339"
tilt towards your right by 340 degree,"0,0,-340"
tilt towards your right by 341 degree,"0,0,-341"
tilt towards your right by 342 degree,"0,0,-342"
tilt towards your right by 343 degree,"0,0,-343"
tilt towards your right by 344 degree,"0,0,-344"
tilt towards your right by 345 degree,"0,0,-345"
tilt towards your right by 346 degree,"0,0,-346"
tilt towards your right by 347 degree,"0,0,-347"
tilt towards your right by 348 degree,"0,0,-348"
tilt towards your right by 349 degree,"0,0,-349"
tilt towards your right by 350 degree,"0,0,-350"
tilt towards your right by 351 degree,"0,0,-351"
tilt towards your right by 352 degree,"0,0,-352"
tilt towards your right by 353 degree,"0,0,-353"
tilt towards your right by 354 degree,"0,0,-354"
tilt towards your right by 355 degree,"0,0,-355"
tilt towards your right by 356 degree,"0,0,-356"
tilt towards your right by 357 degree,"0,0,-357"
tilt towards your right by 358 degree,"0,0,-358"
tilt towards your right by 359 degree,"0,0,-359"
tilt towards your right by 360 degree,"0,0,-360"
make a complete rotation,"0,360,0"
do a full rotation,"0,360,0"
rotate completely,"0,360,0"
take a full turn,"0,360,0"
take a full turn and return to original position,"0,360,0"
can you rotate 360 degrees in space,"0,360,0"
hey can you do a 90 degree left turn,"0,-90,0"
take a 45 degree right turn,"0,45,0"
move towards the east direction,"0,0,0"
take a turn towards the north direction,"0,-90,0"
rotate towards west side,"0,-180,0"
take a turn towards south side,"0,90,0"
completely rotate the arm,"0,360,0"
hey can you do a half rotation,"0,180,0"
Shift 20 degrees to the right,"0,20,0"
Turn 69 degrees to the right,"0,69,0"
Rotate 70 degrees to the right,"0,70,0"
Shift your body 23 degrees to the right,"0,23,0"
Swing your arms 13 degrees to the right,"0,13,0"
Lean your body 20 degrees to the right,"0,20,0"
Look 44 degrees to the right,"0,44,0"
Sidestep 12 degrees to the right,"0,12,0"
Walk in a circle 55 degrees to the right,"0,55,0"
Pivot on your foot 20 degrees to the right,"0,20,0"
Swivel your chair 90 degrees to the right,"0,90,0"
Take a diagonal step 66 degrees to the right,"0,66,0"
Use your foot to push off in a new direction 20 degrees to the right,"0,20,0"
Take a small jump 11 degrees to the right,"0,11,0"
Skip 89 degrees to the right,"0,89,0"
Hop on your foot 32 degrees to the right,"0,32,0"
Roll your body 90 degrees to the right,"0,90,0"
Do a quarter turn 20 degrees to the right,"0,20,0"
Do a pirouette 78 degrees to the right,"0,78,0"
Do a half spin 33 degrees to the right,"0,33,0"
Take a step 8 degrees to the right,"0,8,0"
Turn your body 96 degrees to the right,"0,96,0"
Rotate your hips 13 degrees to the right,"0,13,0"
Shift your weight onto your right foot 64 degrees to the right,"0,64,0"
Swing your arms 20 degrees to the right,"0,20,0"
Lean your upper body 20 degrees to the right,"0,20,0"
Look over your right shoulder 22 degrees to the right,"0,22,0"
Take a sidestep 92 degrees to the right,"0,92,0"
Walk in a circle 37 degrees to the right,"0,37,0"
Pivot on your right foot 30 degrees to the right,"0,30,0"
Swivel your chair 49 degrees to the right,"0,49,0"
Take a diagonal step 69 degrees to the right,"0,69,0"
Use your right foot to push off in a new direction 66 degrees to the right,"0,66,0"
Take a small jump 105 degrees to the right,"0,105,0"
Skip 120 degrees to the right,"0,120,0"
Hop on your right foot 130 degrees to the right,"0,130,0"
Roll your body 139 degrees to the right,"0,139,0"
Do a quarter turn 88 degrees to the right,"0,88,0"
Do a pirouette 77 degrees to the right,"0,77,0"
Do a half spin 178 degrees to the right,"0,178,0"
Take a step 0 degrees to the right,"0,0,0"
Turn your body 20 degrees to the right,"0,20,0"
Rotate your hips 145 degrees to the right,"0,145,0"
Shift your weight onto your right foot 188 degrees to the right,"0,188,0"
Swing your arms 0.5 degrees to the right,"0,0.5,0"
Lean your upper body 22 degrees to the right,"0,22,0"
Look over your right shoulder 99 degrees to the right,"0,99,0"
Take a sidestep 63 degrees to the right,"0,63,0"
Walk in a circle 122 degrees to the right,"0,122,0"
Pivot on your right foot 10 degrees to the right,"0,10,0"
Shift 20 degrees to the left,"0,-20,0"
Turn 69 degrees to the left,"0,-69,0"
Rotate 70 degrees to the left,"0,-70,0"
Shift your body 23 degrees to the left,"0,-23,0"
Swing your arms 13 degrees to the left,"0,-13,0"
Lean your body 20 degrees to the left,"0,-20,0"
Look 44 degrees to the left,"0,-44,0"
Sidestep 12 degrees to the left,"0,-12,0"
Walk in a circle 55 degrees to the left,"0,-55,0"
Pivot on your foot 20 degrees to the left,"0,-20,0"
Swivel your chair 90 degrees to the left,"0,-90,0"
Take a diagonal step 66 degrees to the left,"0,-66,0"
Use your foot to push off in a new direction 20 degrees to the left,"0,-20,0"
Take a small jump 11 degrees to the left,"0,-11,0"
Skip 89 degrees to the left,"0,-89,0"
Hop on your foot 32 degrees to the left,"0,-32,0"
Roll your body 90 degrees to the left,"0,-90,0"
Do a quarter turn 20 degrees to the left,"0,-20,0"
Do a pirouette 78 degrees to the left,"0,-78,0"
Do a half spin 33 degrees to the left,"0,-33,0"
Take a step 8 degrees to the left,"0,-8,0"
Turn your body 96 degrees to the left,"0,-96,0"
Rotate your hips 13 degrees to the left,"0,-13,0"
Shift your weight onto your right foot 64 degrees to the left,"0,-64,0"
Swing your arms 20 degrees to the left,"0,-20,0"
Lean your upper body 20 degrees to the left,"0,-20,0"
Look over your right shoulder 22 degrees to the left,"0,-22,0"
Take a sidestep 92 degrees to the left,"0,-92,0"
Walk in a circle 37 degrees to the left,"0,-37,0"
Pivot on your right foot 30 degrees to the left,"0,-30,0"
Swivel your chair 49 degrees to the left,"0,-49,0"
Take a diagonal step 69 degrees to the left,"0,-69,0"
Use your right foot to push off in a new direction 66 degrees to the left,"0,-66,0"
Take a small jump 105 degrees to the left,"0,-105,0"
Skip 120 degrees to the left,"0,-120,0"
Hop on your right foot 130 degrees to the left,"0,-130,0"
Roll your body 139 degrees to the left,"0,-139,0"
Do a quarter turn 88 degrees to the left,"0,-88,0"
Do a pirouette 77 degrees to the left,"0,-77,0"
Do a half spin 178 degrees to the left,"0,-178,0"
Take a step 0 degrees to the left,"0,-0,0"
Turn your body 20 degrees to the left,"0,-20,0"
Rotate your hips 145 degrees to the left,"0,-145,0"
Shift your weight onto your right foot 188 degrees to the left,"0,-188,0"
Swing your arms 0.5 degrees to the left,"0,-0.5,0"
Lean your upper body 22 degrees to the left,"0,-22,0"
Look over your right shoulder 99 degrees to the left,"0,-99,0"
Take a sidestep 63 degrees to the left,"0,-63,0"
Walk in a circle 122 degrees to the left,"0,-122,0"
Pivot on your right foot 10 degrees to the left,"0,-10,0"
Spin around 360 degrees,"0,360,0"
Complete a full turn around 360 degrees,"0,360,0"
Perform a 360-degree pirouette,"0,360,0"
Do a 360-degree spin,"0,360,0"
Rotate your body around 360 degrees,"0,360,0"
Make a 360-degree pivot,"0,360,0"
Execute a 360-degree twirl,"0,360,0"
Do a 360-degree twist,"0,360,0"
Make a 360-degree circle,"0,360,0"
Perform a 360-degree reversal,"0,360,0"
Do a 360-degree turnabout,"0,360,0"
Execute a 360-degree pivot turn,"0,360,0"
Perform a 360-degree reverse turn,"0,360,0"
Execute a 360-degree u-turn,"0,360,0"
Make a 360-degree spin turn,"0,360,0"
Do a 360-degree wheel,"0,360,0"
Perform a 360-degree rolling turn,"0,360,0"
Execute a 360-degree roll,"0,360,0"
Do a 360-degree cartwheel,"0,360,0"
Make a 360-degree flip,"0,360,0"
Perform a 360-degree somersault,"0,360,0"
Do a 360-degree backflip,"0,360,0"
Make a 360-degree aerial,"0,360,0"
Perform a 360-degree handstand turn,"0,360,0"
Do a 360-degree summersault,"0,360,0"
Make a 360-degree windmill,"0,360,0"
Perform a 360-degree twist turn,"0,360,0"
Do a 360-degree spin move,"0,360,0"
Make a 360-degree spin kick,"0,360,0"
Perform a 360-degree roundoff,"0,360,0"
Do a 360-degree back handspring,"0,360,0"
Make a 360-degree back tuck,"0,360,0"
Perform a 360-degree layout,"0,360,0"
Do a 360-degree full twist,"0,360,0"
Make a 360-degree flying spin,"0,360,0"
Perform a 360-degree aerial turn,"0,360,0"
Do a 360-degree roundoff back handspring,"0,360,0"
Make a 360-degree roundoff back tuck,"0,360,0"
Perform a 360-degree roundoff layout,"0,360,0"
Do a 360-degree roundoff full twist,"0,360,0"
Make a 360-degree roundoff flying spin,"0,360,0"
Perform a 360-degree roundoff aerial turn,"0,360,0"
Do a 360-degree back handspring full twist,"0,360,0"
Make a 360-degree back tuck full twist,"0,360,0"
Perform a 360-degree layout full twist,"0,360,0"
Do a 360-degree flying spin full twist,"0,360,0"
Make a 360-degree aerial turn full twist,"0,360,0"
Perform a 360-degree full twist aerial turn,"0,360,0"
Do a 360-degree back handspring flying spin,"0,360,0"
Make a 360-degree back tuck flying spin,"0,360,0"
Bend your body 10 degrees downward,"10,0,0"
Tilt your head 24 degrees downward,"24,0,0"
Lean your torso 90 degrees downward,"90,0,0"
Incline your shoulders 32 degrees downward,"32,0,0"
Arch your back 14 degrees downward,"14,0,0"
Hunch your body 44 degrees downward,"44,0,0"
Slump your body 87 degrees downward,"87,0,0"
Dip your body 34 degrees downward,"34,0,0"
Bow your body 14 degrees downward,"14,0,0"
Lower your body 66 degrees downward,"66,0,0"
Curl your body 89 degrees downward,"89,0,0"
Tuck your body 36 degrees downward,"36,0,0"
Duck your body 69 degrees downward,"69,0,0"
Nod your head 29 degrees downward,"29,0,0"
Crouch your body 20 degrees downward,"20,0,0"
Squat your body 18 degrees downward,"18,0,0"
Dip your body 49 degrees downward,"49,0,0"
Bend your body 77 degrees downward,"77,0,0"
Bob your body 22 degrees downward,"22,0,0"
Hinge your body 55 degrees downward,"55,0,0"
Bend your body 10 degrees upwards,"-10,0,0"
Tilt your head 24 degrees upwards,"-24,0,0"
Lean your torso 90 degrees upwards,"-90,0,0"
Incline your shoulders 32 degrees upwards,"-32,0,0"
Arch your back 14 degrees upwards,"-14,0,0"
Hunch your body 44 degrees upwards,"-44,0,0"
Slump your body 87 degrees upwards,"-87,0,0"
Dip your body 34 degrees upwards,"-34,0,0"
Bow your body 14 degrees upwards,"-14,0,0"
Lower your body 66 degrees upwards,"-66,0,0"
Curl your body 89 degrees upwards,"-89,0,0"
Tuck your body 36 degrees upwards,"-36,0,0"
Duck your body 69 degrees upwards,"-69,0,0"
Nod your head 29 degrees upwards,"-29,0,0"
Crouch your body 20 degrees upwards,"-20,0,0"
Squat your body 18 degrees upwards,"-18,0,0"
Dip your body 49 degrees upwards,"-49,0,0"
Bend your body 77 degrees upwards,"-77,0,0"
Bob your body 22 degrees upwards,"-22,0,0"
Hinge your body 55 degrees upwards,"-55,0,0"
Turn your head around,"0,180,0"
Look over your shoulder,"0,180,0"
Glance behind you,"0,180,0"
Peek over your shoulder,"0,180,0"
Check behind you,"0,180,0"
Cast your eyes backwards,"0,180,0"
Direct your gaze backwards,"0,180,0"
Turn your eyes backwards,"0,180,0"
Swivel your head backwards,"0,180,0"
Twist your neck backwards,"0,180,0"
Reflect on the past,"0,180,0"
Review the past,"0,180,0"
Consider the past,"0,180,0"
Reflect on your experiences,"0,180,0"
Review your experiences,"0,180,0"
Consider your experiences,"0,180,0"
Look back at your life,"0,180,0"
Remember the past,"0,180,0"
Reflect on your memories,"0,180,0"
Review your memories,"0,180,0"
lean your arm towards left by 48 degrees,"0,0,48"
lean your arm towards right by 48 degrees,"0,0,-48"
Can you spin around for me?,"0,360,0"
Can you do a full turn for me?,"0,360,0"
Can you perform a pirouette for me?,"0,360,0"
Can you do a spin for me?,"0,360,0"
Can you rotate your body for me?,"0,360,0"
Can you make a pivot for me?,"0,360,0"
Can you execute a twirl for me?,"0,360,0"
Can you do a twist for me?,"0,360,0"
Can you make a circle for me?,"0,360,0"
Can you perform a reversal for me?,"0,360,0"
Can you do a turnabout for me?,"0,360,0"
Can you execute a pivot turn for me?,"0,360,0"
Can you perform a reverse turn for me?,"0,360,0"
Can you execute a u-turn for me?,"0,360,0"
Can you make a spin turn for me?,"0,360,0"
Can you do a wheel for me?,"0,360,0"
Can you perform a rolling turn for me?,"0,360,0"
Can you execute a roll for me?,"0,360,0"
Can you do a cartwheel for me?,"0,360,0"
Can you make a flip for me?,"0,360,0"
Can you gaze at the sky?,"-90,0,0"
Can you stare at the sky?,"-90,0,0"
Can you look at the sky?,"-90,0,0"
Can you observe the sky?,"-90,0,0"
Can you check out the sky?,"-90,0,0"
Can you view the sky?,"-90,0,0"
Can you examine the sky?,"-90,0,0"
Can you scrutinize the sky?,"-90,0,0"
Can you peer at the sky?,"-90,0,0"
Can you see the sky?,"-90,0,0"
Can you glance at the sky?,"-90,0,0"
Can you spy on the sky?,"-90,0,0"
Can you stare up at the sky?,"-90,0,0"
Can you look up at the sky?,"-90,0,0"
Can you observe the clouds?,"-90,0,0"
Can you check out the stars?,"-90,0,0"
Can you view the moon?,"-90,0,0"
Can you examine the sun?,"-90,0,0"
Can you scrutinize the heavens?,"-90,0,0"
Can you peer at the constellations?,"-90,0,0"
Can you look down at the ground?,"90,0,0"
Can you observe the ground?,"90,0,0"
Can you check out the ground?,"90,0,0"
Can you view the ground?,"90,0,0"
Can you examine the ground?,"90,0,0"
Can you scrutinize the ground?,"90,0,0"
Can you peer at the ground?,"90,0,0"
Can you see the ground?,"90,0,0"
Can you glance at the ground?,"90,0,0"
Can you spy on the ground?,"90,0,0"
Can you stare down at the ground?,"90,0,0"
Can you look down at the grass?,"90,0,0"
Can you observe the dirt?,"90,0,0"
Can you check out the rocks?,"90,0,0"
Can you view the mud?,"90,0,0"
Can you examine the soil?,"90,0,0"
Can you scrutinize the sand?,"90,0,0"
Can you peer at the gravel?,"90,0,0"
Can you see the leaves?,"90,0,0"
Can you glance at the debris?,"90,0,0"
tilt slightly to your left by 13 degree,"0,0,13"
lean to your left by 15 degrees,"0,0,15"
slip to your left by 8.9 degrees,"0,0,8.9"
make a left inclination of 67 degrees,"0,0,67"
tilt slightly to your right by 34 degree,"0,0,-34"
lean to your right by 22 degrees,"0,0,-22"
slip to your right by 20 degrees,"0,0,-20"
make a right inclination of 18 degrees,"0,0,-18"
